codigo,campo_experiencias,grupo_etario,alinhamento,texto,vigencia_status,fonte_localizador
EI02CG02,ei-campo-cg,ei-grupo-02,ei-align-cg-02,"Deslocar seu corpo no espaço, orientando-se por noções como em frente, atrás, no alto, embaixo, dentro, fora etc., ao se envolver em brincadeiras e atividades de diferentes naturezas.",vigente,página PDF 49
EI02CG03,ei-campo-cg,ei-grupo-02,ei-align-cg-03,"Explorar formas de deslocamento no espaço (pular, saltar, dançar), combinando movimentos e seguindo orientações.",vigente,página PDF 49
EI02CG04,ei-campo-cg,ei-grupo-02,ei-align-cg-04,Demonstrar progressiva independência no cuidado do seu corpo.,vigente,página PDF 49
EI02CG05,ei-campo-cg,ei-grupo-02,ei-align-cg-05,"Desenvolver progressivamente as habilidades manuais, adquirindo controle para desenhar, pintar, rasgar, folhear, entre outros.",vigente,página PDF 49
EI02EF01,ei-campo-ef,ei-grupo-02,ei-align-ef-01,"Dialogar com crianças e adultos, expressando seus desejos, necessidades, sentimentos e opiniões.",vigente,página PDF 51
EI02EF02,ei-campo-ef,ei-grupo-02,ei-align-ef-02,Identificar e criar diferentes sons e reconhecer rimas e aliterações em cantigas de roda e textos poéticos.,vigente,página PDF 51
EI02EF03,ei-campo-ef,ei-grupo-02,ei-align-ef-03,"Demonstrar interesse e atenção ao ouvir a leitura de histórias e outros textos, diferenciando escrita de ilustrações, e acompanhando, com orientação do adulto-leitor, a direção da leitura (de cima para baixo, da esquerda para a direita).",vigente,página PDF 51
EI02EF04,ei-campo-ef,ei-grupo-02,ei-align-ef-04,"Formular e responder perguntas sobre fatos da história narrada, identificando cenários, personagens e principais acontecimentos.",vigente,página PDF 51
EI02EF05,ei-campo-ef,ei-grupo-02,ei-align-ef-05,"Relatar experiências e fatos acontecidos, histórias ouvidas, filmes ou peças teatrais assistidos etc.",vigente,página PDF 51
EI02EF06,ei-campo-ef,ei-grupo-02,ei-align-ef-06,"Criar e contar histórias oralmente, com base em imagens ou temas sugeridos.",vigente,página PDF 52
EI02EF07,ei-campo-ef,ei-grupo-02,ei-align-ef-07,"Manusear diferentes portadores textuais, demonstrando reconhecer seus usos sociais.",vigente,página PDF 52
EI02EF08,ei-campo-ef,ei-grupo-02,ei-align-ef-08,"Manipular textos e participar de situações de escuta para ampliar seu contato com diferentes gêneros textuais (parlendas, histórias de aventura, tirinhas, cartazes de sala, cardápios, notícias etc.).",vigente,página PDF 52
EI02EF09,ei-campo-ef,ei-grupo-02,ei-align-ef-09,"Manusear diferentes instrumentos e suportes de escrita para desenhar, traçar letras e outros sinais gráficos.",vigente,página PDF 52
EI02EO01,ei-campo-eo,ei-grupo-02,ei-align-eo-01,Demonstrar atitudes de cuidado e solidariedade na interação com crianças e adultos.,vigente,página PDF 47
EI02EO02,ei-campo-eo,ei-grupo-02,ei-align-eo-02,Demonstrar imagem positiva de si e confiança em sua capacidade para enfrentar dificuldades e desafios.,vigente,página PDF 47
EI02EO03,ei-campo-eo,ei-grupo-02,ei-align-eo-03,Compartilhar os objetos e os espaços com crianças da mesma faixa etária e adultos.,vigente,página PDF 47
EI02EO04,ei-campo-eo,ei-grupo-02,ei-align-eo-04,"Comunicar-se com os colegas e os adultos, buscando compreendê-los e fazendo-se compreender.",vigente,página PDF 47
EI02EO05,ei-campo-eo,ei-grupo-02,ei-align-eo-05,"Perceber que as pessoas têm características físicas diferentes, respeitando essas diferenças.",vigente,página PDF 47
EI02EO06,ei-campo-eo,ei-grupo-02,ei-align-eo-06,Respeitar regras básicas de convívio social nas interações e brincadeiras.,vigente,página PDF 48
EI02EO07,ei-campo-eo,ei-grupo-02,ei-align-eo-07,"Resolver conflitos nas interações e brincadeiras, com a orientação de um adulto.",vigente,página PDF 48
EI02ET01,ei-campo-et,ei-grupo-02,ei-align-et-01,"Explorar e descrever semelhanças e diferenças entre as características e propriedades dos objetos (textura, massa, tamanho).",vigente,página PDF 53
EI02ET02,ei-campo-et,ei-grupo-02,ei-align-et-02,"Observar, relatar e descrever incidentes do cotidiano e fenômenos naturais (luz solar, vento, chuva etc.).",vigente,página PDF 53
EI02ET03,ei-campo-et,ei-grupo-02,ei-align-et-03,"Compartilhar, com outras crianças, situações de cuidado de plantas e animais nos espaços da instituição e fora dela.",vigente,página PDF 53
EI02ET04,ei-campo-et,ei-grupo-02,ei-align-et-04,"Identificar relações espaciais (dentro e fora, em cima, embaixo, acima, abaixo, entre e do lado) e temporais (antes, durante e depois).",vigente,página PDF 53
EI02ET05,ei-campo-et,ei-grupo-02,ei-align-et-05,"Classificar objetos, considerando determinado atributo (tamanho, peso, cor, forma etc.).",vigente,página PDF 53
