id,etapa,nome
ef-area-ciencias-da-natureza,EF,Ciências da Natureza
ef-area-ciencias-humanas,EF,Ciências Humanas
ef-area-ensino-religioso,EF,Ensino Religioso
ef-area-linguagens,EF,Linguagens
ef-area-matematica,EF,Matemática
em-area-chs,EM,Ciências Humanas e Sociais Aplicadas
em-area-cnt,EM,Ciências da Natureza e suas Tecnologias
em-area-lgg,EM,Linguagens e suas Tecnologias
em-area-mat,EM,Matemática e suas Tecnologias
