id,etapa,tipo,nome,componente
ef-comp-ci-oc-o-sol-como-fonte-de-luz-e-calor,EF,oc,O Sol como fonte de luz e calor,ef-comp-ci
ef-comp-ci-oc-observacao-do-ceu,EF,oc,Observação do céu,ef-comp-ci
ef-comp-ci-oc-ordem-de-grandeza-astronomica,EF,oc,Ordem de grandeza astronômica,ef-comp-ci
ef-comp-ci-oc-periodicidade-das-fases-da-lua,EF,oc,Periodicidade das fases da Lua,ef-comp-ci
ef-comp-ci-oc-placas-tectonicas-e-deriva-continental,EF,oc,Placas tectônicas e deriva continental,ef-comp-ci
ef-comp-ci-oc-plantas,EF,oc,Plantas,ef-comp-ci
ef-comp-ci-oc-pontos-cardeais,EF,oc,Pontos cardeais,ef-comp-ci
ef-comp-ci-oc-preservacao-da-biodiversidade,EF,oc,Preservação da biodiversidade,ef-comp-ci
ef-comp-ci-oc-prevencao-de-acidentes-domesticos,EF,oc,Prevenção de acidentes domésticos,ef-comp-ci
ef-comp-ci-oc-producao-de-som,EF,oc,Produção de som,ef-comp-ci
ef-comp-ci-oc-programas-e-indicadores-de-saude-publica,EF,oc,Programas e indicadores de saúde pública,ef-comp-ci
ef-comp-ci-oc-propriedades-e-usos-dos-materiais,EF,oc,Propriedades e usos dos materiais,ef-comp-ci
ef-comp-ci-oc-propriedades-fisicas-dos-materiais,EF,oc,Propriedades físicas dos materiais,ef-comp-ci
ef-comp-ci-oc-radiacoes-e-suas-aplicacoes-na-saude,EF,oc,Radiações e suas aplicações na saúde,ef-comp-ci
ef-comp-ci-oc-reciclagem,EF,oc,Reciclagem,ef-comp-ci
ef-comp-ci-oc-respeito-a-diversidade,EF,oc,Respeito à diversidade,ef-comp-ci
ef-comp-ci-oc-saude-auditiva-e-visual,EF,oc,Saúde auditiva e visual,ef-comp-ci
ef-comp-ci-oc-separacao-de-materiais,EF,oc,Separação de materiais,ef-comp-ci
ef-comp-ci-oc-seres-vivos-no-ambiente,EF,oc,Seres vivos no ambiente,ef-comp-ci
ef-comp-ci-oc-sexualidade,EF,oc,Sexualidade,ef-comp-ci
ef-comp-ci-oc-sistema-sol-terra-e-lua,EF,oc,"Sistema Sol, Terra e Lua",ef-comp-ci
ef-comp-ci-oc-transformacao-de-energia,EF,oc,Transformação de energia,ef-comp-ci
ef-comp-ci-oc-transformacoes-quimicas,EF,oc,Transformações químicas,ef-comp-ci
ef-comp-ci-oc-transformacoes-reversiveis-e-nao-reversiveis,EF,oc,Transformações reversíveis e não reversíveis,ef-comp-ci
ef-comp-ci-oc-tsunamis,EF,oc,tsunamis),ef-comp-ci
ef-comp-ci-oc-uso-consciente-de-energia-eletrica,EF,oc,Uso consciente de energia elétrica,ef-comp-ci
ef-comp-ci-oc-usos-do-solo,EF,oc,Usos do solo,ef-comp-ci
ef-comp-ci-oc-vida-humana-fora-da-terra,EF,oc,Vida humana fora da Terra,ef-comp-ci
ef-comp-ci-ut-materia-e-energia,EF,ut,Matéria e energia,ef-comp-ci
ef-comp-ci-ut-terra-e-universo,EF,ut,Terra e Universo,ef-comp-ci
ef-comp-ci-ut-vida-e-evolucao,EF,ut,Vida e evolução,ef-comp-ci
ef-comp-ef-oc-brincadeiras-e-jogos-da-cultura-popular-presentes-no-contexto-comunitario-e-regional,EF,oc,Brincadeiras e jogos da cultura popular presentes no contexto comunitário e regional,ef-comp-ef
ef-comp-ef-oc-brincadeiras-e-jogos-de-matriz-indigena-e-africana,EF,oc,Brincadeiras e jogos de matriz indígena e africana,ef-comp-ef
ef-comp-ef-oc-brincadeiras-e-jogos-populares-do-brasil-e-do-mundo,EF,oc,Brincadeiras e jogos populares do Brasil e do mundo,ef-comp-ef
